Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,,,,,,
North Park University,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,
2014-01-01 to 2014-12-31,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-2014,Feb-2014,Mar-2014,Apr-2014,May-2014,Jun-2014,Jul-2014,Aug-2014,Sep-2014,Oct-2014,Nov-2014,Dec-2014
Gastroenterology Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1042-895X,1538-9766,45,30,15,7,20,2,0,2,0,0,1,1,11,1,0
Health Care Management Review,Lippincott Williams & Wilkins (LWW),OvidSP,,,0361-6274,1550-5030,69,31,38,3,11,14,2,0,8,4,0,19,4,2,2
Health Care Manager,Lippincott Williams & Wilkins (LWW),OvidSP,,,1525-5794,1550-512X,58,38,20,17,11,17,1,2,3,1,2,1,1,0,2
Holistic Nursing Practice,Lippincott Williams & Wilkins (LWW),OvidSP,,,0887-9311,1550-5138,108,76,32,32,21,18,4,1,12,1,0,12,1,2,4
Home Healthcare Now,Lippincott Williams & Wilkins (LWW),OvidSP,,,2374-4529,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Healthcare Nurse,Lippincott Williams & Wilkins (LWW),OvidSP,,,0884-741X,N/A,125,90,35,5,14,3,6,0,1,0,7,5,67,13,4
Infants & Young Children,Lippincott Williams & Wilkins (LWW),OvidSP,,,0896-3746,1550-5081,7,3,4,3,1,0,0,0,0,0,0,0,1,0,2
"JONA's Healthcare Law, Ethics, & Regulation",Lippincott Williams & Wilkins (LWW),OvidSP,,,1520-9229,1539-073X,45,33,12,0,8,0,8,6,15,0,0,2,6,0,0
Journal for Nurses in Professional Development,Lippincott Williams & Wilkins (LWW),OvidSP,,,2169-9798,2169-981X,46,20,26,7,14,5,2,0,0,0,0,4,9,5,0
Journal for Nurses in Staff Development - JNSD,Lippincott Williams & Wilkins (LWW),OvidSP,,,1098-7886,2169-981X,87,46,41,13,24,10,2,3,7,6,2,8,7,0,5
Journal of Acute Care Physical Therapy,Lippincott Williams & Wilkins (LWW),OvidSP,,,2158-8686,2159-0524,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Journal of Addictions Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1088-4602,1548-7148,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Journal of Burn Care & Rehabilitation,Lippincott Williams & Wilkins (LWW),OvidSP,,,0273-8481,1559-0488,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0
Journal of Burn Care & Research,Lippincott Williams & Wilkins (LWW),OvidSP,,,1559-047X,1559-0488,16,10,6,3,4,7,1,1,0,0,0,0,0,0,0
Journal of Cardiopulmonary Rehabilitation,Lippincott Williams & Wilkins (LWW),OvidSP,,,0883-9212,1932-751X,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0
Journal of Cardiopulmonary Rehabilitation & Prevention,Lippincott Williams & Wilkins (LWW),OvidSP,,,1932-7501,1932-751X,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0
Journal of Cardiovascular Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0889-4655,1550-5049,67,33,34,5,13,9,2,0,8,6,0,5,10,5,4
Journal of Christian Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0743-2550,1931-7662,151,74,77,24,50,15,16,1,8,3,7,13,3,5,6
Journal of Forensic Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1556-3693,1939-3938,12,11,1,0,0,0,0,0,0,1,0,10,1,0,0
Journal of Geriatric Physical Therapy,Lippincott Williams & Wilkins (LWW),OvidSP,,,1539-8412,2152-0895,21,13,8,5,3,0,0,0,3,0,0,9,0,0,1
Journal of Head Trauma Rehabilitation,Lippincott Williams & Wilkins (LWW),OvidSP,,,0885-9701,1550-509X,5,0,5,1,0,0,0,1,0,1,0,1,1,0,0
Journal of Hospice & Palliative Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1522-2179,1539-0705,130,87,43,15,38,7,5,0,9,10,2,27,10,2,5
Journal of Infusion Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1533-1458,1539-0667,30,17,13,0,7,2,3,0,1,4,0,8,4,0,1
Journal of Intravenous Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0896-5846,1539-0667,15,0,15,0,0,0,0,0,0,0,0,5,10,0,0
Journal of Neurologic Physical Therapy,Lippincott Williams & Wilkins (LWW),OvidSP,,,1557-0576,1557-0584,5,1,4,0,0,0,2,1,1,0,0,0,1,0,0
Journal of Neuroscience Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0888-0395,1945-2810,52,33,19,8,5,6,0,0,0,7,1,13,12,0,0
Journal of Nursing Administration,Lippincott Williams & Wilkins (LWW),OvidSP,,,0002-0443,1539-0721,390,220,170,72,115,42,10,1,16,7,18,47,38,19,5
Journal of Nursing Care Quality,Lippincott Williams & Wilkins (LWW),OvidSP,,,1057-3631,1550-5065,247,147,100,23,66,29,0,5,19,13,3,62,14,10,3
Journal of Occupational & Environmental Medicine,Lippincott Williams & Wilkins (LWW),OvidSP,,,1076-2752,1536-5948,69,36,33,7,19,18,0,0,3,1,0,1,2,0,18
Journal of Patient Safety,Lippincott Williams & Wilkins (LWW),OvidSP,,,1549-8417,N/A,40,18,22,0,7,3,0,0,4,4,0,15,3,3,1
Journal of Perinatal & Neonatal Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0893-2190,1550-5073,154,112,42,17,65,9,2,0,7,19,0,15,13,6,1
Journal of Public Health Management & Practice,Lippincott Williams & Wilkins (LWW),OvidSP,,,1078-4659,1550-5022,102,49,53,15,14,19,10,0,5,7,5,2,18,5,2
Journal of Strength & Conditioning Research,Lippincott Williams & Wilkins (LWW),OvidSP,,,1064-8011,1533-4287,157,94,63,1,10,0,2,0,8,0,0,55,28,7,46
Journal of Trauma Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1078-7496,N/A,68,39,29,1,42,11,4,1,0,0,0,0,8,1,0
Journal of Women's Health Physical Therapy,Lippincott Williams & Wilkins (LWW),OvidSP,,,1556-6803,N/A,10,6,4,0,3,5,0,0,2,0,0,0,0,0,0
"Journal of Wound, Ostomy & Continence Nursing",Lippincott Williams & Wilkins (LWW),OvidSP,,,1071-5754,N/A,219,126,93,9,115,60,8,9,0,0,0,2,5,11,0
LPN,Lippincott Williams & Wilkins (LWW),OvidSP,,,1553-0582,N/A,13,12,1,0,0,0,0,0,0,0,0,10,1,2,0
"MCN, American Journal of Maternal Child Nursing",Lippincott Williams & Wilkins (LWW),OvidSP,,,0361-929X,N/A,267,134,133,19,73,14,20,60,2,13,0,11,41,13,1
Med/Surg Insider Supplement,Lippincott Williams & Wilkins (LWW),OvidSP,,,0360-4039,1538-8689,3,2,1,0,0,0,0,0,0,0,0,3,0,0,0
Medicine & Science in Sports & Exercise,Lippincott Williams & Wilkins (LWW),OvidSP,,,0195-9131,1530-0315,148,111,37,3,8,6,2,1,4,1,0,87,29,4,3
Men in Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0360-4039,1538-8689,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0
Neurology Now,Lippincott Williams & Wilkins (LWW),OvidSP,,,1553-3271,N/A,33,19,14,1,1,4,6,14,5,2,0,0,0,0,0
Neurology Today,Lippincott Williams & Wilkins (LWW),OvidSP,,,1533-7006,N/A,29,23,6,2,6,6,7,4,4,0,0,0,0,0,0
Nurse Educator,Lippincott Williams & Wilkins (LWW),OvidSP,,,0363-3624,N/A,104,49,55,0,12,8,21,6,15,4,10,13,7,5,3
Nurse Practitioner,Lippincott Williams & Wilkins (LWW),OvidSP,,,0361-1817,N/A,163,114,49,10,43,15,6,4,23,5,0,15,19,18,5
Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0360-4039,1538-8689,157,87,70,18,39,23,15,6,12,0,3,20,17,4,0
Nursing Administration Quarterly,Lippincott Williams & Wilkins (LWW),OvidSP,,,0363-9568,N/A,175,102,73,40,27,32,12,4,7,4,8,11,2,18,10
Nursing Case Management,Lippincott Williams & Wilkins (LWW),OvidSP,,,1084-3647,1932-8095,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0
Nursing Critical Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1558-447X,1558-450X,62,32,30,14,24,2,8,0,0,0,0,8,2,4,0
Nursing Made Incredibly Easy!,Lippincott Williams & Wilkins (LWW),OvidSP,,,1544-5186,N/A,41,32,9,0,13,4,9,3,1,0,0,6,0,3,2
Nursing Management,Lippincott Williams & Wilkins (LWW),OvidSP,,,0744-6314,1538-8670,298,168,130,55,83,29,10,1,23,5,8,37,27,18,2
Nursing Research,Lippincott Williams & Wilkins (LWW),OvidSP,,,0029-6562,N/A,97,55,42,9,12,12,17,2,3,6,8,14,12,2,0
Nutrition Today,Lippincott Williams & Wilkins (LWW),OvidSP,,,0029-666X,N/A,31,21,10,7,3,3,9,0,6,1,1,0,0,0,1
OR Nurse,Lippincott Williams & Wilkins (LWW),OvidSP,,,1933-3145,N/A,68,50,18,22,20,2,4,0,1,1,0,11,0,7,0
Orthopaedic Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0744-6020,N/A,72,44,28,7,16,4,3,0,1,0,0,19,17,5,0
Outcomes Management,Lippincott Williams & Wilkins (LWW),OvidSP,,,1535-2765,1550-5154,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Pediatric Physical Therapy,Lippincott Williams & Wilkins (LWW),OvidSP,,,0898-5669,1538-005X,7,5,2,0,5,0,0,0,0,0,0,0,0,1,1
Plastic Surgical Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0741-5206,N/A,10,9,1,3,4,0,2,0,0,0,0,1,0,0,0
Point of Care: The Journal of Near-Patient Testing & Technology,Lippincott Williams & Wilkins (LWW),OvidSP,,,1533-029X,1533-0303,14,11,3,0,0,8,3,0,0,0,0,0,1,2,0
Professional Case Management,Lippincott Williams & Wilkins (LWW),OvidSP,,,1932-8087,1932-8095,39,27,12,0,1,7,2,2,2,3,0,11,3,8,0
Quality Management in Health Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1063-8628,1550-5154,33,23,10,0,3,3,0,0,11,0,0,7,0,7,2
Topics in Clinical Nutrition,Lippincott Williams & Wilkins (LWW),OvidSP,,,0883-5691,N/A,9,3,6,0,3,1,1,0,3,0,0,0,0,1,0
Topics in Emergency Medicine,Lippincott Williams & Wilkins (LWW),OvidSP,,,0164-2340,N/A,14,8,6,1,6,6,0,0,0,0,0,0,0,1,0
Topics in Geriatric Rehabilitation,Lippincott Williams & Wilkins (LWW),OvidSP,,,0882-7524,N/A,12,10,2,0,0,0,0,0,2,0,0,9,0,0,1
Topics in Language Disorders,Lippincott Williams & Wilkins (LWW),OvidSP,,,0271-8294,N/A,5,5,0,0,0,0,1,0,0,0,0,1,3,0,0
