Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,,,,,,
North Park University,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,
2016-01-01 to 2016-12-31,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016
Dimensions of Critical Care Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0730-4625,1538-8646,59,39,20,7,22,5,1,0,9,1,0,12,1,0,1
Family & Community Health,Lippincott Williams & Wilkins (LWW),OvidSP,,,0160-6379,1550-5057,31,18,13,0,1,2,8,0,1,3,0,0,7,1,8
Gastroenterology Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1042-895X,1538-9766,15,14,1,0,2,0,1,0,0,1,0,8,1,2,0
Health Care Management Review,Lippincott Williams & Wilkins (LWW),OvidSP,,,0361-6274,1550-5030,13,8,5,6,0,0,0,0,0,0,0,0,1,4,2
Health Care Manager,Lippincott Williams & Wilkins (LWW),OvidSP,,,1525-5794,1550-512X,7,5,2,0,0,0,0,0,0,1,0,3,3,0,0
Holistic Nursing Practice,Lippincott Williams & Wilkins (LWW),OvidSP,,,0887-9311,1550-5138,29,18,11,2,0,3,2,1,3,1,0,17,0,0,0
Home Healthcare Now,Lippincott Williams & Wilkins (LWW),OvidSP,,,2374-4529,N/A,6,5,1,0,0,0,1,0,0,3,0,2,0,0,0
Home Healthcare Nurse,Lippincott Williams & Wilkins (LWW),OvidSP,,,0884-741X,N/A,85,69,16,1,4,48,9,4,0,1,0,7,10,1,0
Infants & Young Children,Lippincott Williams & Wilkins (LWW),OvidSP,,,0896-3746,1550-5081,4,4,0,0,1,0,3,0,0,0,0,0,0,0,0
International Journal of Rehabilitation Research,Lippincott Williams & Wilkins (LWW),OvidSP,,,0342-5282,1473-5660,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"JONA's Healthcare Law, Ethics, & Regulation",Lippincott Williams & Wilkins (LWW),OvidSP,,,1520-9229,1539-073X,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0
Journal For Healthcare Quality,Lippincott Williams & Wilkins (LWW),OvidSP,,,1062-2551,1945-1474,8,4,4,4,0,0,1,0,0,0,0,1,0,2,0
Journal for Nurses in Professional Development,Lippincott Williams & Wilkins (LWW),OvidSP,,,2169-9798,2169-981X,12,7,5,0,4,1,0,0,0,0,2,3,2,0,0
Journal for Nurses in Staff Development - JNSD,Lippincott Williams & Wilkins (LWW),OvidSP,,,1098-7886,2169-981X,22,13,9,0,1,5,2,6,0,0,2,3,3,0,0
Journal of Addictions Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1088-4602,1548-7148,11,4,7,0,1,6,0,0,0,3,0,1,0,0,0
Journal of Burn Care & Research,Lippincott Williams & Wilkins (LWW),OvidSP,,,1559-047X,1559-0488,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Journal of Cardiopulmonary Rehabilitation,Lippincott Williams & Wilkins (LWW),OvidSP,,,0883-9212,1932-751X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Journal of Cardiopulmonary Rehabilitation & Prevention,Lippincott Williams & Wilkins (LWW),OvidSP,,,1932-7501,1932-751X,29,17,12,0,11,7,4,0,0,0,0,5,2,0,0
Journal of Cardiovascular Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0889-4655,1550-5049,55,35,20,1,14,16,0,0,1,0,0,11,7,4,1
Journal of Christian Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0743-2550,1931-7662,170,111,59,10,20,0,5,0,2,0,40,5,55,14,19
Journal of Forensic Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1556-3693,1939-3938,20,11,9,0,0,0,0,0,4,0,2,7,1,6,0
Journal of Geriatric Physical Therapy,Lippincott Williams & Wilkins (LWW),OvidSP,,,1539-8412,2152-0895,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0
Journal of Head Trauma Rehabilitation,Lippincott Williams & Wilkins (LWW),OvidSP,,,0885-9701,1550-509X,7,4,3,2,1,0,0,0,0,2,0,0,0,2,0
Journal of Hospice & Palliative Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1522-2179,1539-0705,73,50,23,1,18,3,23,1,0,0,0,7,20,0,0
Journal of Infusion Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1533-1458,1539-0667,63,38,25,4,10,12,4,0,0,0,0,15,14,3,1
Journal of Intravenous Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0896-5846,1539-0667,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Journal of Neuroscience Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0888-0395,1945-2810,32,22,10,3,4,0,4,0,3,1,0,10,7,0,0
Journal of Nursing Administration,Lippincott Williams & Wilkins (LWW),OvidSP,,,0002-0443,1539-0721,162,110,52,8,66,4,15,1,7,0,0,30,19,12,0
Journal of Nursing Care Quality,Lippincott Williams & Wilkins (LWW),OvidSP,,,1057-3631,1550-5065,145,103,42,8,42,17,24,1,0,0,0,32,5,10,6
Journal of Nursing Staff Development,Lippincott Williams & Wilkins (LWW),OvidSP,,,0882-0627,2169-981X,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Journal of Occupational & Environmental Medicine,Lippincott Williams & Wilkins (LWW),OvidSP,,,1076-2752,1536-5948,23,15,8,0,2,1,3,0,0,0,0,4,11,2,0
Journal of Patient Safety,Lippincott Williams & Wilkins (LWW),OvidSP,,,1549-8417,N/A,37,7,30,3,9,1,4,0,2,0,0,2,2,11,3
Journal of Perinatal & Neonatal Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0893-2190,1550-5073,40,30,10,2,18,3,5,0,4,0,0,0,8,0,0
Journal of Public Health Management & Practice,Lippincott Williams & Wilkins (LWW),OvidSP,,,1078-4659,1550-5022,26,8,18,2,7,7,4,0,0,0,0,0,1,5,0
Journal of Strength & Conditioning Research,Lippincott Williams & Wilkins (LWW),OvidSP,,,1064-8011,1533-4287,196,125,71,5,35,0,12,27,4,1,1,76,26,6,3
Journal of the American Academy of Physician Assistants,Lippincott Williams & Wilkins (LWW),OvidSP,,,1547-1896,0893-7400,20,15,5,0,8,2,1,0,0,2,0,1,5,1,0
Journal of Trauma Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,1078-7496,N/A,13,6,7,0,8,3,1,0,0,0,0,1,0,0,0
"Journal of Wound, Ostomy & Continence Nursing",Lippincott Williams & Wilkins (LWW),OvidSP,,,1071-5754,N/A,42,34,8,1,10,12,1,0,1,0,0,5,7,5,0
"MCN, American Journal of Maternal Child Nursing",Lippincott Williams & Wilkins (LWW),OvidSP,,,0361-929X,N/A,79,51,28,9,17,6,16,1,0,0,0,6,23,0,1
Medicine & Science in Sports & Exercise,Lippincott Williams & Wilkins (LWW),OvidSP,,,0195-9131,1530-0315,79,58,21,10,16,9,15,2,4,5,0,3,9,5,1
Neurology Now,Lippincott Williams & Wilkins (LWW),OvidSP,,,1553-3271,N/A,8,5,3,0,2,2,0,0,0,4,0,0,0,0,0
Neurology Today,Lippincott Williams & Wilkins (LWW),OvidSP,,,1533-7006,N/A,22,11,11,0,14,2,0,0,0,3,0,0,2,0,1
Nurse Educator,Lippincott Williams & Wilkins (LWW),OvidSP,,,0363-3624,N/A,68,31,37,0,7,9,0,9,4,7,1,2,10,13,6
Nurse Practitioner,Lippincott Williams & Wilkins (LWW),OvidSP,,,0361-1817,N/A,70,50,20,3,11,8,14,4,6,7,0,6,9,1,1
Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0360-4039,1538-8689,139,106,33,4,28,13,10,3,2,1,0,26,26,24,2
Nursing Administration Quarterly,Lippincott Williams & Wilkins (LWW),OvidSP,,,0363-9568,N/A,33,20,13,2,7,0,1,0,11,0,0,7,5,0,0
Nursing Critical Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1558-447X,1558-450X,27,16,11,4,11,2,2,0,0,0,0,0,5,3,0
Nursing Education Perspectives,Lippincott Williams & Wilkins (LWW),OvidSP,,,1536-5026,N/A,10,5,5,0,0,0,0,0,0,0,0,5,1,4,0
Nursing Made Incredibly Easy!,Lippincott Williams & Wilkins (LWW),OvidSP,,,1544-5186,N/A,41,30,11,0,7,3,4,1,0,2,0,5,8,8,3
Nursing Management,Lippincott Williams & Wilkins (LWW),OvidSP,,,0744-6314,1538-8670,110,80,30,8,40,6,0,1,1,0,2,14,12,18,8
Nursing Research,Lippincott Williams & Wilkins (LWW),OvidSP,,,0029-6562,N/A,53,36,17,0,3,5,8,2,0,0,2,9,22,2,0
Nutrition Today,Lippincott Williams & Wilkins (LWW),OvidSP,,,0029-666X,N/A,7,6,1,0,0,0,0,1,2,0,0,2,2,0,0
OR Nurse,Lippincott Williams & Wilkins (LWW),OvidSP,,,1933-3145,N/A,12,8,4,1,3,3,0,0,0,0,0,2,3,0,0
Orthopaedic Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0744-6020,N/A,38,22,16,6,15,4,4,0,0,1,0,2,5,1,0
Pediatric Physical Therapy,Lippincott Williams & Wilkins (LWW),OvidSP,,,0898-5669,1538-005X,3,2,1,0,1,0,0,2,0,0,0,0,0,0,0
Plastic Surgical Nursing,Lippincott Williams & Wilkins (LWW),OvidSP,,,0741-5206,N/A,8,6,2,0,0,5,0,0,0,0,0,3,0,0,0
Professional Case Management,Lippincott Williams & Wilkins (LWW),OvidSP,,,1932-8087,1932-8095,36,22,14,5,6,2,3,0,0,1,0,13,3,0,3
Quality Management in Health Care,Lippincott Williams & Wilkins (LWW),OvidSP,,,1063-8628,1550-5154,6,4,2,0,2,0,4,0,0,0,0,0,0,0,0
Topics in Clinical Nutrition,Lippincott Williams & Wilkins (LWW),OvidSP,,,0883-5691,N/A,8,5,3,0,0,6,0,0,0,0,0,0,0,0,2
Topics in Geriatric Rehabilitation,Lippincott Williams & Wilkins (LWW),OvidSP,,,0882-7524,N/A,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
Topics in Language Disorders,Lippincott Williams & Wilkins (LWW),OvidSP,,,0271-8294,N/A,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
