Database,Publisher,User_Activity,2013,2014,2015,2016,2017
ECONIS,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,Record Views,NA,0,0,NA,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,Regular Searches,NA,0,0,NA,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,Result Clicks,NA,0,0,NA,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,Searches-federated and automated,NA,0,3,NA,NA
EDS consolidated db (QD facet) no7,EBSCO,Record Views,NA,NA,NA,0,0
EDS consolidated db (QD facet) no7,EBSCO,Regular Searches,NA,NA,NA,0,0
EDS consolidated db (QD facet) no7,EBSCO,Result Clicks,NA,NA,NA,0,0
EDS consolidated db (QD facet) no7,EBSCO,Searches-federated and automated,NA,NA,NA,38,8
EDS consolidated db (QD facet) no8,EBSCO,Record Views,NA,NA,NA,0,0
EDS consolidated db (QD facet) no8,EBSCO,Regular Searches,NA,NA,NA,0,0
EDS consolidated db (QD facet) no8,EBSCO,Result Clicks,NA,NA,NA,0,0
EDS consolidated db (QD facet) no8,EBSCO,Searches-federated and automated,NA,NA,NA,0,221
EDS consolidated db (QD facet) no9,EBSCO,Record Views,NA,NA,NA,0,0
EDS consolidated db (QD facet) no9,EBSCO,Regular Searches,NA,NA,NA,0,1
EDS consolidated db (QD facet) no9,EBSCO,Result Clicks,NA,NA,NA,0,0
EDS consolidated db (QD facet) no9,EBSCO,Searches-federated and automated,NA,NA,NA,0,0
EDS Consolidated NZL,EBSCO,Record Views,NA,NA,NA,0,0
EDS Consolidated NZL,EBSCO,Regular Searches,NA,NA,NA,0,0
EDS Consolidated NZL,EBSCO,Result Clicks,NA,NA,NA,0,0
EDS Consolidated NZL,EBSCO,Searches-federated and automated,NA,NA,NA,46,8
EDS consolidation db #1 (coneds1),EBSCO,Record Views,NA,NA,NA,2,0
EDS consolidation db #1 (coneds1),EBSCO,Regular Searches,NA,NA,NA,0,0
EDS consolidation db #1 (coneds1),EBSCO,Result Clicks,NA,NA,NA,2,0
EDS consolidation db #1 (coneds1),EBSCO,Searches-federated and automated,NA,NA,NA,469,227
"Education in Video, Volume 1",Alexander Street Press,Record Views,0,16,27,19,NA
"Education in Video, Volume 1",Alexander Street Press,Regular Searches,0,144,28,59,NA
"Education in Video, Volume 1",Alexander Street Press,Result Clicks,0,9,14,7,NA
"Education in Video, Volume 1",Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
Education Research Complete,EBSCO,Record Views,1357,3034,3618,4384,658
Education Research Complete,EBSCO,Regular Searches,2947,5748,6229,5203,707
Education Research Complete,EBSCO,Result Clicks,2712,5221,6167,7834,1193
Education Research Complete,EBSCO,Searches-federated and automated,39,83,28939,53828,15845
Encyclopedia of the Bible and its Reception Online,EBSCO,Record Views,NA,NA,NA,0,0
Encyclopedia of the Bible and its Reception Online,EBSCO,Regular Searches,NA,NA,NA,0,0
Encyclopedia of the Bible and its Reception Online,EBSCO,Result Clicks,NA,NA,NA,0,0
Encyclopedia of the Bible and its Reception Online,EBSCO,Searches-federated and automated,NA,NA,NA,3496,1228
Energy Citations Database,EBSCO,Record Views,NA,0,0,0,0
Energy Citations Database,EBSCO,Regular Searches,NA,0,0,0,0
Energy Citations Database,EBSCO,Result Clicks,NA,0,0,3,0
Energy Citations Database,EBSCO,Searches-federated and automated,NA,80,5227,6601,1230
Environment Complete,EBSCO,Record Views,223,1107,1254,775,223
Environment Complete,EBSCO,Regular Searches,1749,3632,3854,2675,647
Environment Complete,EBSCO,Result Clicks,443,1711,1887,1251,390
Environment Complete,EBSCO,Searches-federated and automated,39,83,28841,53660,15794
ERIC,EBSCO,Record Views,674,1067,1041,1326,263
ERIC,EBSCO,Regular Searches,2395,3811,4090,3209,497
ERIC,EBSCO,Result Clicks,1116,1695,1564,2020,373
ERIC,EBSCO,Searches-federated and automated,39,83,23403,46560,14460
Erudit,EBSCO,Record Views,NA,0,0,NA,NA
Erudit,EBSCO,Regular Searches,NA,0,0,NA,NA
Erudit,EBSCO,Result Clicks,NA,0,0,NA,NA
Erudit,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Expanded Academic ASAP,EBSCO,Record Views,NA,0,0,NA,NA
Expanded Academic ASAP,EBSCO,Regular Searches,NA,0,0,NA,NA
Expanded Academic ASAP,EBSCO,Result Clicks,NA,1,1,NA,NA
Expanded Academic ASAP,EBSCO,Searches-federated and automated,NA,81,71,NA,NA
Films on Demand,EBSCO,Record Views,NA,0,5,NA,NA
Films on Demand,EBSCO,Regular Searches,NA,0,0,NA,NA
Films on Demand,EBSCO,Result Clicks,NA,0,28,NA,NA
Films on Demand,EBSCO,Searches-federated and automated,NA,0,116,NA,NA
Freedonia Focus Reports,EBSCO,Record Views,NA,0,0,NA,NA
Freedonia Focus Reports,EBSCO,Regular Searches,NA,0,0,NA,NA
Freedonia Focus Reports,EBSCO,Result Clicks,NA,0,0,NA,NA
Freedonia Focus Reports,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Funk & Wagnalls New World Encyclopedia,EBSCO,Record Views,3,7,21,4,6
Funk & Wagnalls New World Encyclopedia,EBSCO,Regular Searches,1339,1958,2611,2184,388
Funk & Wagnalls New World Encyclopedia,EBSCO,Result Clicks,7,19,38,14,15
Funk & Wagnalls New World Encyclopedia,EBSCO,Searches-federated and automated,39,83,168,4,0
Gale Consolidated DB 2,EBSCO,Record Views,NA,NA,NA,0,0
Gale Consolidated DB 2,EBSCO,Regular Searches,NA,NA,NA,0,0
Gale Consolidated DB 2,EBSCO,Result Clicks,NA,NA,NA,0,0
Gale Consolidated DB 2,EBSCO,Searches-federated and automated,NA,NA,NA,46,8
Gale Virtual Reference Library,EBSCO,Record Views,NA,1,105,121,9
Gale Virtual Reference Library,EBSCO,Regular Searches,NA,0,0,0,0
Gale Virtual Reference Library,EBSCO,Result Clicks,NA,11,163,195,16
Gale Virtual Reference Library,EBSCO,Searches-federated and automated,NA,80,5278,6654,1232
Garland Encyclopedia of World Music,Alexander Street Press,Record Views,0,0,11,4,NA
Garland Encyclopedia of World Music,Alexander Street Press,Regular Searches,0,8,71,51,NA
Garland Encyclopedia of World Music,Alexander Street Press,Result Clicks,0,0,5,4,NA
Garland Encyclopedia of World Music,Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
General OneFile,EBSCO,Record Views,NA,0,0,NA,NA
General OneFile,EBSCO,Regular Searches,NA,0,0,NA,NA
General OneFile,EBSCO,Result Clicks,NA,1,2,NA,NA
General OneFile,EBSCO,Searches-federated and automated,NA,81,71,NA,NA
General Reference Center Gold,EBSCO,Record Views,NA,0,0,NA,NA
General Reference Center Gold,EBSCO,Regular Searches,NA,0,0,NA,NA
General Reference Center Gold,EBSCO,Result Clicks,NA,0,0,NA,NA
General Reference Center Gold,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Gigaom Research,EBSCO,Record Views,NA,0,0,NA,NA
Gigaom Research,EBSCO,Regular Searches,NA,0,0,NA,NA
Gigaom Research,EBSCO,Result Clicks,NA,0,0,NA,NA
Gigaom Research,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Government Printing Office Catalog,EBSCO,Record Views,NA,0,0,NA,NA
Government Printing Office Catalog,EBSCO,Regular Searches,NA,0,0,NA,NA
Government Printing Office Catalog,EBSCO,Result Clicks,NA,0,0,NA,NA
Government Printing Office Catalog,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
GreenFILE,EBSCO,Record Views,5,2,2,0,0
GreenFILE,EBSCO,Regular Searches,1351,2018,2614,2185,385
GreenFILE,EBSCO,Result Clicks,5,2,4,0,0
GreenFILE,EBSCO,Searches-federated and automated,39,83,5266,6683,1235
Grove Art Online,EBSCO,Record Views,NA,0,0,NA,NA
Grove Art Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Grove Art Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Grove Art Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Grove Music Online,EBSCO,Record Views,NA,0,0,NA,NA
Grove Music Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Grove Music Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Grove Music Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Harvard Library Bibliographic Dataset,EBSCO,Record Views,NA,6,0,NA,NA
Harvard Library Bibliographic Dataset,EBSCO,Regular Searches,NA,0,0,NA,NA
Harvard Library Bibliographic Dataset,EBSCO,Result Clicks,NA,13,0,NA,NA
Harvard Library Bibliographic Dataset,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Health & Wellness Resource Center,EBSCO,Record Views,NA,0,0,NA,NA
Health & Wellness Resource Center,EBSCO,Regular Searches,NA,0,0,NA,NA
Health & Wellness Resource Center,EBSCO,Result Clicks,NA,0,0,NA,NA
Health & Wellness Resource Center,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Health Business Elite,EBSCO,Record Views,NA,0,571,613,117
Health Business Elite,EBSCO,Regular Searches,NA,0,2403,2847,681
Health Business Elite,EBSCO,Result Clicks,NA,0,1051,1190,214
Health Business Elite,EBSCO,Searches-federated and automated,NA,0,4691,6740,1241
Health News,EBSCO,Record Views,0,1,3,0,0
Health News,EBSCO,Regular Searches,3350,10982,8144,8313,3119
Health News,EBSCO,Result Clicks,12,19,30,18,6
Health News,EBSCO,Searches-federated and automated,0,80,69,0,0
Health Source - Consumer Edition,EBSCO,Record Views,17,28,63,182,76
Health Source - Consumer Edition,EBSCO,Regular Searches,1633,2986,3956,2904,595
Health Source - Consumer Edition,EBSCO,Result Clicks,42,74,153,385,173
Health Source - Consumer Edition,EBSCO,Searches-federated and automated,39,83,28628,53246,15688
Health Source: Nursing/Academic Edition,EBSCO,Record Views,397,1197,2313,1470,292
Health Source: Nursing/Academic Edition,EBSCO,Regular Searches,2193,5892,7573,5588,1251
Health Source: Nursing/Academic Edition,EBSCO,Result Clicks,744,2108,3963,2565,569
Health Source: Nursing/Academic Edition,EBSCO,Searches-federated and automated,39,83,28865,53683,15799
Health Technology Assessments,EBSCO,Record Views,1,0,4,3,0
Health Technology Assessments,EBSCO,Regular Searches,694,1785,3200,2555,492
Health Technology Assessments,EBSCO,Result Clicks,4,0,9,6,0
Health Technology Assessments,EBSCO,Searches-federated and automated,39,80,5221,6634,1234
HeinOnline,EBSCO,Record Views,NA,0,0,NA,NA
HeinOnline,EBSCO,Regular Searches,NA,0,0,NA,NA
HeinOnline,EBSCO,Result Clicks,NA,0,0,NA,NA
HeinOnline,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Henry Stewart Talks,EBSCO,Record Views,NA,0,0,NA,NA
Henry Stewart Talks,EBSCO,Regular Searches,NA,0,0,NA,NA
Henry Stewart Talks,EBSCO,Result Clicks,NA,0,0,NA,NA
Henry Stewart Talks,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
History Reference Center,EBSCO,Record Views,17,0,NA,NA,NA
History Reference Center,EBSCO,Regular Searches,582,9,NA,NA,NA
History Reference Center,EBSCO,Result Clicks,46,0,NA,NA,NA
History Reference Center,EBSCO,Searches-federated and automated,0,0,NA,NA,NA
Hoover's Company Profiles,EBSCO,Record Views,NA,0,0,NA,NA
Hoover's Company Profiles,EBSCO,Regular Searches,NA,0,0,NA,NA
Hoover's Company Profiles,EBSCO,Result Clicks,NA,0,0,NA,NA
Hoover's Company Profiles,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
HyRead Journal,EBSCO,Record Views,NA,0,0,NA,NA
HyRead Journal,EBSCO,Regular Searches,NA,0,0,NA,NA
HyRead Journal,EBSCO,Result Clicks,NA,0,0,NA,NA
HyRead Journal,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Ibuk.pl,EBSCO,Record Views,NA,0,0,NA,NA
Ibuk.pl,EBSCO,Regular Searches,NA,0,0,NA,NA
Ibuk.pl,EBSCO,Result Clicks,NA,0,0,NA,NA
Ibuk.pl,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
IndianJournals.com,EBSCO,Record Views,NA,0,0,NA,NA
IndianJournals.com,EBSCO,Regular Searches,NA,0,0,NA,NA
IndianJournals.com,EBSCO,Result Clicks,NA,0,0,NA,NA
IndianJournals.com,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Industry Studies Working Papers,EBSCO,Record Views,NA,0,0,NA,NA
Industry Studies Working Papers,EBSCO,Regular Searches,NA,0,0,NA,NA
Industry Studies Working Papers,EBSCO,Result Clicks,NA,0,0,NA,NA
Industry Studies Working Papers,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Informit Business Collection,EBSCO,Record Views,NA,0,0,NA,NA
Informit Business Collection,EBSCO,Regular Searches,NA,0,0,NA,NA
Informit Business Collection,EBSCO,Result Clicks,NA,0,0,NA,NA
Informit Business Collection,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Informit Engineering Collection,EBSCO,Record Views,NA,0,0,NA,NA
Informit Engineering Collection,EBSCO,Regular Searches,NA,0,0,NA,NA
Informit Engineering Collection,EBSCO,Result Clicks,NA,0,0,NA,NA
Informit Engineering Collection,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Informit Health Collection,EBSCO,Record Views,NA,0,0,NA,NA
Informit Health Collection,EBSCO,Regular Searches,NA,0,0,NA,NA
Informit Health Collection,EBSCO,Result Clicks,NA,0,0,NA,NA
Informit Health Collection,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Informit Humanities & Social Sciences Collection,EBSCO,Record Views,NA,0,0,NA,NA
Informit Humanities & Social Sciences Collection,EBSCO,Regular Searches,NA,0,0,NA,NA
Informit Humanities & Social Sciences Collection,EBSCO,Result Clicks,NA,0,0,NA,NA
Informit Humanities & Social Sciences Collection,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Informit Indigenous Collection,EBSCO,Record Views,NA,0,0,NA,NA
Informit Indigenous Collection,EBSCO,Regular Searches,NA,0,0,NA,NA
Informit Indigenous Collection,EBSCO,Result Clicks,NA,0,0,NA,NA
Informit Indigenous Collection,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Informit Literature & Culture Collection,EBSCO,Record Views,NA,0,0,NA,NA
Informit Literature & Culture Collection,EBSCO,Regular Searches,NA,0,0,NA,NA
Informit Literature & Culture Collection,EBSCO,Result Clicks,NA,0,0,NA,NA
Informit Literature & Culture Collection,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
InfoTrac Computer Database,EBSCO,Record Views,NA,0,0,NA,NA
InfoTrac Computer Database,EBSCO,Regular Searches,NA,0,0,NA,NA
InfoTrac Computer Database,EBSCO,Result Clicks,NA,0,0,NA,NA
InfoTrac Computer Database,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
InfoTrac Health Reference Center Academic,EBSCO,Record Views,NA,0,0,NA,NA
InfoTrac Health Reference Center Academic,EBSCO,Regular Searches,NA,0,0,NA,NA
InfoTrac Health Reference Center Academic,EBSCO,Result Clicks,NA,0,0,NA,NA
InfoTrac Health Reference Center Academic,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
InfoTrac Informe!,EBSCO,Record Views,NA,0,0,NA,NA
InfoTrac Informe!,EBSCO,Regular Searches,NA,0,0,NA,NA
InfoTrac Informe!,EBSCO,Result Clicks,NA,0,0,NA,NA
InfoTrac Informe!,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
InfoTrac Junior Edition,EBSCO,Record Views,NA,0,0,NA,NA
InfoTrac Junior Edition,EBSCO,Regular Searches,NA,0,0,NA,NA
InfoTrac Junior Edition,EBSCO,Result Clicks,NA,0,0,NA,NA
InfoTrac Junior Edition,EBSCO,Searches-federated and automated,NA,80,72,NA,NA
InfoTrac LegalTrac,EBSCO,Record Views,NA,0,0,NA,NA
InfoTrac LegalTrac,EBSCO,Regular Searches,NA,0,0,NA,NA
InfoTrac LegalTrac,EBSCO,Result Clicks,NA,0,0,NA,NA
InfoTrac LegalTrac,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
InfoTrac Newsstand,EBSCO,Record Views,NA,0,0,NA,NA
InfoTrac Newsstand,EBSCO,Regular Searches,NA,0,0,NA,NA
InfoTrac Newsstand,EBSCO,Result Clicks,NA,3,0,NA,NA
InfoTrac Newsstand,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
InfoTrac Student Edition,EBSCO,Record Views,NA,0,0,NA,NA
InfoTrac Student Edition,EBSCO,Regular Searches,NA,0,0,NA,NA
InfoTrac Student Edition,EBSCO,Result Clicks,NA,0,0,NA,NA
InfoTrac Student Edition,EBSCO,Searches-federated and automated,NA,81,71,NA,NA
J-STAGE,EBSCO,Record Views,NA,0,0,NA,NA
J-STAGE,EBSCO,Regular Searches,NA,0,0,NA,NA
J-STAGE,EBSCO,Result Clicks,NA,0,0,NA,NA
J-STAGE,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,Record Views,NA,0,0,NA,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,Regular Searches,NA,0,0,NA,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,Result Clicks,NA,0,0,NA,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,Record Views,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,Regular Searches,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,Result Clicks,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,Record Views,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,Regular Searches,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,Result Clicks,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,Record Views,NA,NA,0,NA,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,Regular Searches,NA,NA,0,NA,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,Result Clicks,NA,NA,0,NA,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,Searches-federated and automated,NA,NA,69,NA,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,Record Views,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,Regular Searches,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,Result Clicks,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,Record Views,NA,0,NA,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,Regular Searches,NA,0,NA,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,Result Clicks,NA,0,NA,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,Searches-federated and automated,NA,80,NA,NA,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,Record Views,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,Regular Searches,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,Result Clicks,NA,0,0,NA,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,Record Views,NA,0,0,NA,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,Regular Searches,NA,0,0,NA,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,Result Clicks,NA,0,0,NA,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,Record Views,NA,0,0,NA,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,Regular Searches,NA,0,0,NA,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,Result Clicks,NA,0,0,NA,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,Record Views,NA,0,0,NA,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,Regular Searches,NA,0,0,NA,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,Result Clicks,NA,0,0,NA,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,Record Views,NA,0,0,NA,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,Regular Searches,NA,0,0,NA,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,Result Clicks,NA,0,0,NA,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,Searches-federated and automated,NA,80,70,NA,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,Record Views,NA,0,0,NA,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,Regular Searches,NA,0,0,NA,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,Result Clicks,NA,0,0,NA,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,Searches-federated and automated,NA,80,70,NA,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,Record Views,NA,0,0,NA,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,Regular Searches,NA,0,0,NA,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,Result Clicks,NA,0,0,NA,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
JoVE Science Education Database,EBSCO,Record Views,NA,NA,NA,0,NA
JoVE Science Education Database,EBSCO,Regular Searches,NA,NA,NA,2,NA
JoVE Science Education Database,EBSCO,Result Clicks,NA,NA,NA,0,NA
JoVE Science Education Database,EBSCO,Searches-federated and automated,NA,NA,NA,0,NA
JSTOR,NA,Record Views,NA,NA,1032,374,NA
JSTOR,NA,Regular Searches,NA,NA,13811,12172,NA
JSTOR,NA,Result Clicks,NA,NA,10719,9451,NA
JSTOR,NA,Searches - federated and automated,NA,NA,988,549,NA
JSTOR 19th Century British Pamphlets,EBSCO,Record Views,NA,0,0,2,0
JSTOR 19th Century British Pamphlets,EBSCO,Regular Searches,NA,0,0,0,0
JSTOR 19th Century British Pamphlets,EBSCO,Result Clicks,NA,0,0,4,0
JSTOR 19th Century British Pamphlets,EBSCO,Searches-federated and automated,NA,80,5260,6614,1228
JSTOR Journals,EBSCO,Record Views,NA,0,322,637,207
JSTOR Journals,EBSCO,Regular Searches,NA,0,0,0,0
JSTOR Journals,EBSCO,Result Clicks,NA,0,596,1232,415
JSTOR Journals,EBSCO,Searches-federated and automated,NA,80,28554,53238,15699
Korean Studies Information Service System (KISS),EBSCO,Record Views,NA,0,0,NA,NA
Korean Studies Information Service System (KISS),EBSCO,Regular Searches,NA,0,0,NA,NA
Korean Studies Information Service System (KISS),EBSCO,Result Clicks,NA,0,0,NA,NA
Korean Studies Information Service System (KISS),EBSCO,Searches-federated and automated,NA,80,71,NA,NA
KyoboScholar,EBSCO,Record Views,NA,0,0,NA,NA
KyoboScholar,EBSCO,Regular Searches,NA,0,0,NA,NA
KyoboScholar,EBSCO,Result Clicks,NA,0,0,NA,NA
KyoboScholar,EBSCO,Searches-federated and automated,NA,80,70,NA,NA
Lan Publishing,EBSCO,Record Views,NA,0,0,NA,NA
Lan Publishing,EBSCO,Regular Searches,NA,0,0,NA,NA
Lan Publishing,EBSCO,Result Clicks,NA,0,0,NA,NA
Lan Publishing,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
LDBO consolidated build,EBSCO,Record Views,NA,NA,NA,0,0
LDBO consolidated build,EBSCO,Regular Searches,NA,NA,NA,0,0
LDBO consolidated build,EBSCO,Result Clicks,NA,NA,NA,0,0
LDBO consolidated build,EBSCO,Searches-federated and automated,NA,NA,NA,46,8
LexisNexis Academic: Law Reviews,EBSCO,Record Views,NA,1,74,253,137
LexisNexis Academic: Law Reviews,EBSCO,Regular Searches,NA,0,0,0,0
LexisNexis Academic: Law Reviews,EBSCO,Result Clicks,NA,2,149,444,221
LexisNexis Academic: Law Reviews,EBSCO,Searches-federated and automated,NA,80,23199,46232,14354
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Record Views,NA,0,0,NA,NA
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Regular Searches,NA,0,0,NA,NA
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Result Clicks,NA,0,0,NA,NA
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
"Library, Information Science & Technology Abstracts",EBSCO,Record Views,NA,71,385,475,53
"Library, Information Science & Technology Abstracts",EBSCO,Regular Searches,NA,1187,3073,2418,419
"Library, Information Science & Technology Abstracts",EBSCO,Result Clicks,NA,119,638,666,74
"Library, Information Science & Technology Abstracts",EBSCO,Searches-federated and automated,NA,80,28582,53229,15696
Literary Reference Center,EBSCO,Record Views,874,608,723,1095,33
Literary Reference Center,EBSCO,Regular Searches,2566,2955,3448,3313,412
Literary Reference Center,EBSCO,Result Clicks,1630,1211,1374,2109,58
Literary Reference Center,EBSCO,Searches-federated and automated,39,83,5326,6757,1239
Literature Resource Center,EBSCO,Record Views,NA,0,2,NA,NA
Literature Resource Center,EBSCO,Regular Searches,NA,0,0,NA,NA
Literature Resource Center,EBSCO,Result Clicks,NA,2,7,NA,NA
Literature Resource Center,EBSCO,Searches-federated and automated,NA,80,73,NA,NA
LUNA Commons,EBSCO,Record Views,NA,0,0,NA,NA
LUNA Commons,EBSCO,Regular Searches,NA,0,0,NA,NA
LUNA Commons,EBSCO,Result Clicks,NA,0,0,NA,NA
LUNA Commons,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Manuscriptorium Digital Library,EBSCO,Record Views,NA,0,0,NA,NA
Manuscriptorium Digital Library,EBSCO,Regular Searches,NA,0,0,NA,NA
Manuscriptorium Digital Library,EBSCO,Result Clicks,NA,0,0,NA,NA
Manuscriptorium Digital Library,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Marquis Biographies Online,EBSCO,Record Views,NA,0,0,NA,NA
Marquis Biographies Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Marquis Biographies Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Marquis Biographies Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Maruzen eBook Library,EBSCO,Record Views,NA,0,0,NA,NA
Maruzen eBook Library,EBSCO,Regular Searches,NA,0,0,NA,NA
Maruzen eBook Library,EBSCO,Result Clicks,NA,0,0,NA,NA
Maruzen eBook Library,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
MAS Ultra - School Edition,EBSCO,Record Views,8,11,20,23,2
MAS Ultra - School Edition,EBSCO,Regular Searches,1359,1928,2613,2183,390
