Database,Publisher,User_Activity,FY 2014,FY 2015,FY 2016,FY 2017
Naxos Music Library Jazz,EBSCO,Record Views,NA,0,0,NA
Naxos Music Library Jazz,EBSCO,Regular Searches,NA,0,0,NA
Naxos Music Library Jazz,EBSCO,Result Clicks,NA,0,0,NA
Naxos Music Library Jazz,EBSCO,Searches-federated and automated,NA,149,0,NA
Naxos Spoken Word Library,EBSCO,Record Views,NA,0,0,NA
Naxos Spoken Word Library,EBSCO,Regular Searches,NA,0,0,NA
Naxos Spoken Word Library,EBSCO,Result Clicks,NA,0,0,NA
Naxos Spoken Word Library,EBSCO,Searches-federated and automated,NA,149,0,NA
Naxos Video Library,EBSCO,Record Views,NA,0,0,NA
Naxos Video Library,EBSCO,Regular Searches,NA,0,0,NA
Naxos Video Library,EBSCO,Result Clicks,NA,0,0,NA
Naxos Video Library,EBSCO,Searches-federated and automated,NA,149,0,NA
NBC Learn Higher Ed,EBSCO,Record Views,NA,0,0,NA
NBC Learn Higher Ed,EBSCO,Regular Searches,NA,0,0,NA
NBC Learn Higher Ed,EBSCO,Result Clicks,NA,0,0,NA
NBC Learn Higher Ed,EBSCO,Searches-federated and automated,NA,151,0,NA
NBC Learn K-12,EBSCO,Record Views,NA,1,0,NA
NBC Learn K-12,EBSCO,Regular Searches,NA,0,0,NA
NBC Learn K-12,EBSCO,Result Clicks,NA,2,0,NA
NBC Learn K-12,EBSCO,Searches-federated and automated,NA,151,0,NA
New Testament Abstracts,EBSCO,Record Views,335,239,108,182
New Testament Abstracts,EBSCO,Regular Searches,2332,3120,2369,1412
New Testament Abstracts,EBSCO,Result Clicks,546,359,208,321
New Testament Abstracts,EBSCO,Searches-federated and automated,3,2391,43621,37743
Newnonmun – 뉴논문,EBSCO,Record Views,NA,0,0,NA
Newnonmun – 뉴논문,EBSCO,Regular Searches,NA,0,0,NA
Newnonmun – 뉴논문,EBSCO,Result Clicks,NA,0,0,NA
Newnonmun – 뉴논문,EBSCO,Searches-federated and automated,NA,149,0,NA
NewsBank,EBSCO,Record Views,NA,0,0,NA
NewsBank,EBSCO,Regular Searches,NA,0,0,NA
NewsBank,EBSCO,Result Clicks,NA,0,0,NA
NewsBank,EBSCO,Searches-federated and automated,NA,149,0,NA
NewsBank - Archives,EBSCO,Record Views,NA,0,0,NA
NewsBank - Archives,EBSCO,Regular Searches,NA,0,0,NA
NewsBank - Archives,EBSCO,Result Clicks,NA,0,0,NA
NewsBank - Archives,EBSCO,Searches-federated and automated,NA,149,0,NA
Newspaper Source,EBSCO,Record Views,29,56,47,36
Newspaper Source,EBSCO,Regular Searches,2358,3127,2252,1314
Newspaper Source,EBSCO,Result Clicks,70,125,124,77
Newspaper Source,EBSCO,Searches-federated and automated,42,1903,6113,5227
Newswires,EBSCO,Record Views,NA,4,1,7
Newswires,EBSCO,Regular Searches,NA,0,0,0
Newswires,EBSCO,Result Clicks,NA,4,1,9
Newswires,EBSCO,Searches-federated and automated,NA,1900,6058,5196
NHS Economic Evaluation Database,EBSCO,Record Views,0,0,0,0
NHS Economic Evaluation Database,EBSCO,Regular Searches,749,2821,2226,1197
NHS Economic Evaluation Database,EBSCO,Result Clicks,1,1,0,0
NHS Economic Evaluation Database,EBSCO,Searches-federated and automated,39,149,4,0
Nursing Education in Video,Alexander Street Press,Record Views,3,485,410,205
Nursing Education in Video,Alexander Street Press,Regular Searches,5,264,69,54
Nursing Education in Video,Alexander Street Press,Result Clicks,0,166,22,7
Nursing Education in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0
"Nursing Education in Video, 2013",Alexander Street Press,Record Views,0,49,43,12
"Nursing Education in Video, 2013",Alexander Street Press,Regular Searches,5,264,69,54
"Nursing Education in Video, 2013",Alexander Street Press,Result Clicks,0,21,1,0
"Nursing Education in Video, 2013",Alexander Street Press,Searches-federated and automated,0,0,0,0
Nursing Reference Center,EBSCO,Record Views,310,173,403,927
Nursing Reference Center,EBSCO,Regular Searches,6192,12007,9008,8021
Nursing Reference Center,EBSCO,Result Clicks,6512,11960,9825,8858
Nursing Reference Center,EBSCO,Searches-federated and automated,0,1910,49329,43108
OAIster,EBSCO,Record Views,NA,5,17,0
OAIster,EBSCO,Regular Searches,NA,0,0,0
OAIster,EBSCO,Result Clicks,NA,17,43,0
OAIster,EBSCO,Searches-federated and automated,NA,1899,5871,0
OAPEN Library,EBSCO,Record Views,NA,0,0,NA
OAPEN Library,EBSCO,Regular Searches,NA,0,0,NA
OAPEN Library,EBSCO,Result Clicks,NA,0,0,NA
OAPEN Library,EBSCO,Searches-federated and automated,NA,149,0,NA
Old Testament Abstracts,EBSCO,Record Views,567,202,235,156
Old Testament Abstracts,EBSCO,Regular Searches,2688,3150,2463,1395
Old Testament Abstracts,EBSCO,Result Clicks,918,302,420,247
Old Testament Abstracts,EBSCO,Searches-federated and automated,3,4147,49751,43018
Opera in Video,Alexander Street Press,Record Views,0,30,19,3
Opera in Video,Alexander Street Press,Regular Searches,11,215,204,42
Opera in Video,Alexander Street Press,Result Clicks,0,16,13,2
Opera in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0
Opposing Viewpoints in Context,EBSCO,Record Views,NA,3,0,NA
Opposing Viewpoints in Context,EBSCO,Regular Searches,NA,0,0,NA
Opposing Viewpoints in Context,EBSCO,Result Clicks,NA,7,0,NA
Opposing Viewpoints in Context,EBSCO,Searches-federated and automated,NA,153,0,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,Record Views,17,10,12,36
Ovid MEDLINE(R),U.S. National Library of Medicine,Regular Searches,24,12,1,9
Ovid MEDLINE(R),U.S. National Library of Medicine,Result Clicks,41,12,12,37
Ovid MEDLINE(R),U.S. National Library of Medicine,Searches-federated and automated,0,0,0,0
Oxford's Who's Who & Who Was Who,EBSCO,Record Views,NA,0,0,NA
Oxford's Who's Who & Who Was Who,EBSCO,Regular Searches,NA,0,0,NA
Oxford's Who's Who & Who Was Who,EBSCO,Result Clicks,NA,1,0,NA
Oxford's Who's Who & Who Was Who,EBSCO,Searches-federated and automated,NA,149,0,NA
Oxford African American Studies Center,EBSCO,Record Views,NA,0,0,NA
Oxford African American Studies Center,EBSCO,Regular Searches,NA,0,0,NA
Oxford African American Studies Center,EBSCO,Result Clicks,NA,0,0,NA
Oxford African American Studies Center,EBSCO,Searches-federated and automated,NA,149,0,NA
Oxford Biblical Studies Online,EBSCO,Record Views,NA,0,8,0
Oxford Biblical Studies Online,EBSCO,Regular Searches,NA,0,0,0
Oxford Biblical Studies Online,EBSCO,Result Clicks,NA,5,17,3
Oxford Biblical Studies Online,EBSCO,Searches-federated and automated,NA,223,5952,5149
Oxford Bibliographies,EBSCO,Record Views,NA,0,0,NA
Oxford Bibliographies,EBSCO,Regular Searches,NA,0,0,NA
Oxford Bibliographies,EBSCO,Result Clicks,NA,0,0,NA
Oxford Bibliographies,EBSCO,Searches-federated and automated,NA,149,0,NA
Oxford Dictionary of National Biography,EBSCO,Record Views,NA,0,0,NA
Oxford Dictionary of National Biography,EBSCO,Regular Searches,NA,0,0,NA
Oxford Dictionary of National Biography,EBSCO,Result Clicks,NA,0,0,NA
Oxford Dictionary of National Biography,EBSCO,Searches-federated and automated,NA,149,0,NA
Oxford Handbooks Online,EBSCO,Record Views,NA,0,0,NA
Oxford Handbooks Online,EBSCO,Regular Searches,NA,0,0,NA
Oxford Handbooks Online,EBSCO,Result Clicks,NA,0,0,NA
Oxford Handbooks Online,EBSCO,Searches-federated and automated,NA,151,0,NA
Oxford Islamic Studies Online,EBSCO,Record Views,NA,0,0,NA
Oxford Islamic Studies Online,EBSCO,Regular Searches,NA,0,0,NA
Oxford Islamic Studies Online,EBSCO,Result Clicks,NA,0,0,NA
Oxford Islamic Studies Online,EBSCO,Searches-federated and automated,NA,149,0,NA
Oxford Medicine Online,EBSCO,Record Views,NA,0,0,NA
Oxford Medicine Online,EBSCO,Regular Searches,NA,0,0,NA
Oxford Medicine Online,EBSCO,Result Clicks,NA,0,0,NA
Oxford Medicine Online,EBSCO,Searches-federated and automated,NA,149,0,NA
Oxford Reference,EBSCO,Record Views,NA,0,0,NA
Oxford Reference,EBSCO,Regular Searches,NA,0,0,NA
Oxford Reference,EBSCO,Result Clicks,NA,0,0,NA
Oxford Reference,EBSCO,Searches-federated and automated,NA,151,0,NA
Oxford Scholarly Editions Online,EBSCO,Record Views,NA,0,0,NA
Oxford Scholarly Editions Online,EBSCO,Regular Searches,NA,0,0,NA
Oxford Scholarly Editions Online,EBSCO,Result Clicks,NA,0,0,NA
Oxford Scholarly Editions Online,EBSCO,Searches-federated and automated,NA,149,0,NA
Oxford Scholarship Online,EBSCO,Record Views,NA,1,0,NA
Oxford Scholarship Online,EBSCO,Regular Searches,NA,0,0,NA
Oxford Scholarship Online,EBSCO,Result Clicks,NA,2,0,NA
Oxford Scholarship Online,EBSCO,Searches-federated and automated,NA,152,0,NA
Persée,EBSCO,Record Views,NA,0,0,NA
Persée,EBSCO,Regular Searches,NA,0,0,NA
Persée,EBSCO,Result Clicks,NA,0,0,NA
Persée,EBSCO,Searches-federated and automated,NA,149,0,NA
Philosopher's Index,EBSCO,Record Views,25,64,0,NA
Philosopher's Index,EBSCO,Regular Searches,765,2759,0,NA
Philosopher's Index,EBSCO,Result Clicks,49,114,0,NA
Philosopher's Index,EBSCO,Searches-federated and automated,3,1210,0,NA
Philosophers Index with Full Text,EBSCO,Record Views,NA,0,378,0
Philosophers Index with Full Text,EBSCO,Regular Searches,NA,49,2322,96
Philosophers Index with Full Text,EBSCO,Result Clicks,NA,0,761,5
Philosophers Index with Full Text,EBSCO,Searches-federated and automated,NA,0,49607,646
PhilSci Archive,EBSCO,Record Views,NA,0,0,NA
PhilSci Archive,EBSCO,Regular Searches,NA,0,0,NA
PhilSci Archive,EBSCO,Result Clicks,NA,0,0,NA
PhilSci Archive,EBSCO,Searches-federated and automated,NA,149,0,NA
Primary Search,EBSCO,Record Views,0,0,0,3
Primary Search,EBSCO,Regular Searches,2440,3273,2305,1291
Primary Search,EBSCO,Result Clicks,0,1,1,6
Primary Search,EBSCO,Searches-federated and automated,42,1910,6124,5231
Professional Development Collection,EBSCO,Record Views,304,182,642,624
Professional Development Collection,EBSCO,Regular Searches,2566,3679,2472,1322
Professional Development Collection,EBSCO,Result Clicks,581,391,1222,1156
Professional Development Collection,EBSCO,Searches-federated and automated,42,4255,50380,43433
Project MUSE,EBSCO,Record Views,NA,31,333,148
Project MUSE,EBSCO,Regular Searches,NA,0,0,0
Project MUSE,EBSCO,Result Clicks,NA,78,621,290
Project MUSE,EBSCO,Searches-federated and automated,NA,4236,49886,42473
Project MUSE,Johns Hopkins University Press,Record Views,514,0,0,0
Project MUSE,Johns Hopkins University Press,Regular Searches,6184,1618,1366,653
Project MUSE,Johns Hopkins University Press,Result Clicks,411,635,649,215
Project MUSE,Johns Hopkins University Press,Searches-federated and automated,0,0,0,0
PsycARTICLES,EBSCO,Record Views,262,401,971,770
PsycARTICLES,EBSCO,Regular Searches,3304,5250,2952,1756
PsycARTICLES,EBSCO,Result Clicks,705,955,1971,1637
PsycARTICLES,EBSCO,Searches-federated and automated,43,2480,44154,38176
PsycBOOKS,EBSCO,Record Views,NA,0,0,NA
PsycBOOKS,EBSCO,Regular Searches,NA,0,0,NA
PsycBOOKS,EBSCO,Result Clicks,NA,0,0,NA
PsycBOOKS,EBSCO,Searches-federated and automated,NA,149,0,NA
PsycCRITIQUES,EBSCO,Record Views,NA,0,0,NA
PsycCRITIQUES,EBSCO,Regular Searches,NA,0,0,NA
PsycCRITIQUES,EBSCO,Result Clicks,NA,0,0,NA
PsycCRITIQUES,EBSCO,Searches-federated and automated,NA,151,0,NA
PsycheVisual,EBSCO,Record Views,NA,0,0,NA
PsycheVisual,EBSCO,Regular Searches,NA,0,0,NA
PsycheVisual,EBSCO,Result Clicks,NA,0,0,NA
PsycheVisual,EBSCO,Searches-federated and automated,NA,149,0,NA
PsycINFO,EBSCO,Record Views,7717,10596,8998,6897
PsycINFO,EBSCO,Regular Searches,13358,16429,13431,9039
PsycINFO,EBSCO,Result Clicks,14078,17899,15036,11926
PsycINFO,EBSCO,Searches-federated and automated,42,2477,44166,38157
Public Information Online,EBSCO,Record Views,NA,0,0,NA
Public Information Online,EBSCO,Regular Searches,NA,0,0,NA
Public Information Online,EBSCO,Result Clicks,NA,0,0,NA
Public Information Online,EBSCO,Searches-federated and automated,NA,149,0,NA
Publications New Zealand Metadata,EBSCO,Record Views,NA,0,0,NA
Publications New Zealand Metadata,EBSCO,Regular Searches,NA,0,0,NA
Publications New Zealand Metadata,EBSCO,Result Clicks,NA,0,0,NA
Publications New Zealand Metadata,EBSCO,Searches-federated and automated,NA,151,0,NA
Publisher Provided Full Text Searching File,EBSCO,Record Views,NA,124,1682,1872
Publisher Provided Full Text Searching File,EBSCO,Regular Searches,NA,0,0,0
Publisher Provided Full Text Searching File,EBSCO,Result Clicks,NA,243,3054,3506
Publisher Provided Full Text Searching File,EBSCO,Searches-federated and automated,NA,4297,50891,43824
R2 Digital Library,EBSCO,Record Views,NA,0,0,NA
R2 Digital Library,EBSCO,Regular Searches,NA,0,0,NA
R2 Digital Library,EBSCO,Result Clicks,NA,0,0,NA
R2 Digital Library,EBSCO,Searches-federated and automated,NA,149,0,NA
RACO,EBSCO,Record Views,NA,0,0,NA
RACO,EBSCO,Regular Searches,NA,0,0,NA
RACO,EBSCO,Result Clicks,NA,0,0,NA
RACO,EBSCO,Searches-federated and automated,NA,151,0,NA
RAMBI,EBSCO,Record Views,NA,0,0,NA
RAMBI,EBSCO,Regular Searches,NA,0,0,NA
RAMBI,EBSCO,Result Clicks,NA,0,0,NA
RAMBI,EBSCO,Searches-federated and automated,NA,149,0,NA
RCAAP,EBSCO,Record Views,NA,0,0,NA
RCAAP,EBSCO,Regular Searches,NA,0,0,NA
RCAAP,EBSCO,Result Clicks,NA,0,0,NA
RCAAP,EBSCO,Searches-federated and automated,NA,151,0,NA
ReadEx,EBSCO,Record Views,NA,0,NA,NA
ReadEx,EBSCO,Regular Searches,NA,0,NA,NA
ReadEx,EBSCO,Result Clicks,NA,0,NA,NA
ReadEx,EBSCO,Searches-federated and automated,NA,3,NA,NA
RECERCAT,EBSCO,Record Views,NA,0,0,NA
RECERCAT,EBSCO,Regular Searches,NA,0,0,NA
RECERCAT,EBSCO,Result Clicks,NA,0,0,NA
RECERCAT,EBSCO,Searches-federated and automated,NA,151,0,NA
Regional Business News,EBSCO,Record Views,74,97,383,574
Regional Business News,EBSCO,Regular Searches,2268,2935,2579,1644
Regional Business News,EBSCO,Result Clicks,146,175,595,951
Regional Business News,EBSCO,Searches-federated and automated,42,4256,50164,43275
Research Starters,EBSCO,Record Views,NA,6,14,12
Research Starters,EBSCO,Regular Searches,NA,0,0,0
Research Starters,EBSCO,Result Clicks,NA,30,124,109
Research Starters,EBSCO,Searches-federated and automated,NA,1899,6065,5214
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Record Views,378,196,173,223
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Regular Searches,2640,3140,2382,1476
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Result Clicks,575,337,274,349
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Searches-federated and automated,42,4222,49854,43132
Rivisteweb,EBSCO,Record Views,NA,0,0,NA
Rivisteweb,EBSCO,Regular Searches,NA,0,0,NA
Rivisteweb,EBSCO,Result Clicks,NA,0,0,NA
Rivisteweb,EBSCO,Searches-federated and automated,NA,149,0,NA
Rock's Backpages,EBSCO,Record Views,NA,0,0,NA
Rock's Backpages,EBSCO,Regular Searches,NA,0,0,NA
Rock's Backpages,EBSCO,Result Clicks,NA,0,0,NA
Rock's Backpages,EBSCO,Searches-federated and automated,NA,149,0,NA
Roubini Global Economics,EBSCO,Record Views,NA,0,0,NA
Roubini Global Economics,EBSCO,Regular Searches,NA,0,0,NA
Roubini Global Economics,EBSCO,Result Clicks,NA,0,0,NA
Roubini Global Economics,EBSCO,Searches-federated and automated,NA,149,0,NA
SA ePublications Service,EBSCO,Record Views,NA,0,0,NA
SA ePublications Service,EBSCO,Regular Searches,NA,0,0,NA
SA ePublications Service,EBSCO,Result Clicks,NA,0,0,NA
SA ePublications Service,EBSCO,Searches-federated and automated,NA,151,0,NA
ScholarVox,EBSCO,Record Views,NA,0,0,NA
ScholarVox,EBSCO,Regular Searches,NA,0,0,NA
ScholarVox,EBSCO,Result Clicks,NA,0,0,NA
ScholarVox,EBSCO,Searches-federated and automated,NA,149,0,NA
SciELO,EBSCO,Record Views,NA,0,0,NA
SciELO,EBSCO,Regular Searches,NA,0,0,NA
SciELO,EBSCO,Result Clicks,NA,0,0,NA
SciELO,EBSCO,Searches-federated and automated,NA,151,0,NA
ScienceDirect,EBSCO,Record Views,NA,205,3241,3968
ScienceDirect,EBSCO,Regular Searches,NA,0,0,0
ScienceDirect,EBSCO,Result Clicks,NA,444,5875,7019
ScienceDirect,EBSCO,Searches-federated and automated,NA,4234,50170,43297
SciTech Connect,EBSCO,Record Views,NA,0,1,0
SciTech Connect,EBSCO,Regular Searches,NA,0,0,0
SciTech Connect,EBSCO,Result Clicks,NA,0,1,2
SciTech Connect,EBSCO,Searches-federated and automated,NA,156,6076,5215
Small Engine Repair Reference Center,EBSCO,Record Views,NA,0,0,NA
Small Engine Repair Reference Center,EBSCO,Regular Searches,NA,2,0,NA
Small Engine Repair Reference Center,EBSCO,Result Clicks,NA,0,0,NA
Small Engine Repair Reference Center,EBSCO,Searches-federated and automated,NA,0,0,NA
SocINDEX with Full Text,EBSCO,Record Views,NA,2,4158,2174
SocINDEX with Full Text,EBSCO,Regular Searches,NA,46,4679,2419
SocINDEX with Full Text,EBSCO,Result Clicks,NA,2,6501,3594
SocINDEX with Full Text,EBSCO,Searches-federated and automated,NA,0,49974,43660
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Record Views,NA,0,0,NA
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Regular Searches,NA,0,0,NA
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Result Clicks,NA,0,0,NA
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Searches-federated and automated,NA,149,0,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Record Views,NA,0,0,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Regular Searches,NA,0,0,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Result Clicks,NA,0,0,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Searches-federated and automated,NA,149,0,NA
Spanish Patient Education,EBSCO,Record Views,NA,NA,0,0
Spanish Patient Education,EBSCO,Regular Searches,NA,NA,1,2
Spanish Patient Education,EBSCO,Result Clicks,NA,NA,0,0
Spanish Patient Education,EBSCO,Searches-federated and automated,NA,NA,0,0
SPORTDiscus with Full Text,EBSCO,Record Views,NA,NA,23,0
SPORTDiscus with Full Text,EBSCO,Regular Searches,NA,NA,729,0
SPORTDiscus with Full Text,EBSCO,Result Clicks,NA,NA,34,0
SPORTDiscus with Full Text,EBSCO,Searches-federated and automated,NA,NA,0,0
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Record Views,1,25,12,11
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Regular Searches,5,199,32,41
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Result Clicks,0,24,5,1
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Searches-federated and automated,0,0,0,0
SpringerMaterials,EBSCO,Record Views,NA,0,0,0
SpringerMaterials,EBSCO,Regular Searches,NA,0,0,0
SpringerMaterials,EBSCO,Result Clicks,NA,0,0,13
SpringerMaterials,EBSCO,Searches-federated and automated,NA,1751,6070,5204
SSOAR – Social Science Open Access Repository,EBSCO,Record Views,NA,0,0,NA
SSOAR – Social Science Open Access Repository,EBSCO,Regular Searches,NA,0,0,NA
SSOAR – Social Science Open Access Repository,EBSCO,Result Clicks,NA,0,0,NA
SSOAR – Social Science Open Access Repository,EBSCO,Searches-federated and automated,NA,149,0,NA
STAT!Ref,EBSCO,Record Views,NA,0,1,4
STAT!Ref,EBSCO,Regular Searches,NA,0,0,0
STAT!Ref,EBSCO,Result Clicks,NA,0,2,5
STAT!Ref,EBSCO,Searches-federated and automated,NA,1906,6058,5206
Supplemental Index,EBSCO,Record Views,NA,13,140,227
Supplemental Index,EBSCO,Regular Searches,NA,0,0,0
Supplemental Index,EBSCO,Result Clicks,NA,37,259,403
Supplemental Index,EBSCO,Searches-federated and automated,NA,4253,50360,43455
Swedish National Bibliography,EBSCO,Record Views,NA,0,0,NA
Swedish National Bibliography,EBSCO,Regular Searches,NA,0,0,NA
Swedish National Bibliography,EBSCO,Result Clicks,NA,0,0,NA
Swedish National Bibliography,EBSCO,Searches-federated and automated,NA,151,0,NA
SwePub,EBSCO,Record Views,NA,1,0,NA
SwePub,EBSCO,Regular Searches,NA,0,0,NA
SwePub,EBSCO,Result Clicks,NA,2,0,NA
SwePub,EBSCO,Searches-federated and automated,NA,301,0,NA
TDX,EBSCO,Record Views,NA,0,0,NA
TDX,EBSCO,Regular Searches,NA,0,0,NA
TDX,EBSCO,Result Clicks,NA,0,0,NA
TDX,EBSCO,Searches-federated and automated,NA,149,0,NA
Teacher Reference Center,EBSCO,Record Views,0,4,4,4
Teacher Reference Center,EBSCO,Regular Searches,2269,2874,2274,1269
Teacher Reference Center,EBSCO,Result Clicks,0,7,8,8
Teacher Reference Center,EBSCO,Searches-federated and automated,42,1918,6123,5252
The Criterion Collection,Alexander Street Press,Record Views,0,3,0,0
The Criterion Collection,Alexander Street Press,Regular Searches,0,6,0,0
The Criterion Collection,Alexander Street Press,Result Clicks,0,1,0,0
The Criterion Collection,Alexander Street Press,Searches-federated and automated,0,0,0,0
The PBS Video Collection,Alexander Street Press,Record Views,2,128,42,35
The PBS Video Collection,Alexander Street Press,Regular Searches,7,379,137,83
The PBS Video Collection,Alexander Street Press,Result Clicks,2,81,12,2
The PBS Video Collection,Alexander Street Press,Searches-federated and automated,0,0,0,0
University Press Scholarship Online,EBSCO,Record Views,NA,0,0,NA
University Press Scholarship Online,EBSCO,Regular Searches,NA,0,0,NA
University Press Scholarship Online,EBSCO,Result Clicks,NA,0,0,NA
University Press Scholarship Online,EBSCO,Searches-federated and automated,NA,151,0,NA
USPTO Patent Applications,EBSCO,Record Views,NA,0,0,NA
USPTO Patent Applications,EBSCO,Regular Searches,NA,0,0,NA
USPTO Patent Applications,EBSCO,Result Clicks,NA,0,0,NA
USPTO Patent Applications,EBSCO,Searches-federated and automated,NA,149,0,NA
USPTO Patent Grants,EBSCO,Record Views,NA,0,0,NA
USPTO Patent Grants,EBSCO,Regular Searches,NA,0,0,NA
USPTO Patent Grants,EBSCO,Result Clicks,NA,0,0,NA
USPTO Patent Grants,EBSCO,Searches-federated and automated,NA,149,0,NA
World Book,EBSCO,Record Views,NA,0,0,NA
World Book,EBSCO,Regular Searches,NA,0,0,NA
World Book,EBSCO,Result Clicks,NA,0,0,NA
World Book,EBSCO,Searches-federated and automated,NA,149,0,NA
World History in Video,Alexander Street Press,Record Views,19,122,72,104
World History in Video,Alexander Street Press,Regular Searches,9,229,66,112
World History in Video,Alexander Street Press,Result Clicks,2,58,7,8
World History in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0
